"Path","Lines","Purpose"
"analysis_options.yaml","34","Static analysis and lint configuration for the project."
"android\.gitignore","13","Android platform/build configuration or generated runner resource."
"android\app\build.gradle.kts","38","Android platform/build configuration or generated runner resource."
"android\app\src\debug\AndroidManifest.xml","7","Android platform/build configuration or generated runner resource."
"android\app\src\main\AndroidManifest.xml","44","Android platform/build configuration or generated runner resource."
"android\app\src\main\java\io\flutter\plugins\GeneratedPluginRegistrant.java","","Android platform/build configuration or generated runner resource."
"android\app\src\main\kotlin\com\makeanapplikeus\house_party_offline\MainActivity.kt","","Android platform/build configuration or generated runner resource."
"android\app\src\main\res\drawable\launch_background.xml","11","Android platform/build configuration or generated runner resource."
"android\app\src\main\res\drawable-v21\launch_background.xml","11","Android platform/build configuration or generated runner resource."
"android\app\src\main\res\mipmap-hdpi\ic_launcher.png","","Android platform/build configuration or generated runner resource."
"android\app\src\main\res\mipmap-mdpi\ic_launcher.png","","Android platform/build configuration or generated runner resource."
"android\app\src\main\res\mipmap-xhdpi\ic_launcher.png","","Android platform/build configuration or generated runner resource."
"android\app\src\main\res\mipmap-xxhdpi\ic_launcher.png","","Android platform/build configuration or generated runner resource."
"android\app\src\main\res\mipmap-xxxhdpi\ic_launcher.png","","Android platform/build configuration or generated runner resource."
"android\app\src\main\res\values\styles.xml","17","Android platform/build configuration or generated runner resource."
"android\app\src\main\res\values-night\styles.xml","17","Android platform/build configuration or generated runner resource."
"android\app\src\profile\AndroidManifest.xml","7","Android platform/build configuration or generated runner resource."
"android\build.gradle.kts","21","Android platform/build configuration or generated runner resource."
"android\gradle.properties","2","Android platform/build configuration or generated runner resource."
"android\gradle\wrapper\gradle-wrapper.properties","5","Android platform/build configuration or generated runner resource."
"android\local.properties","1","Android platform/build configuration or generated runner resource."
"android\settings.gradle.kts","22","Android platform/build configuration or generated runner resource."
"assets\word_packs\animals.json","27","Bundled offline word-pack JSON asset consumed by Imposter data layer."
"assets\word_packs\foods.json","27","Bundled offline word-pack JSON asset consumed by Imposter data layer."
"assets\word_packs\index.json","10","Bundled offline word-pack JSON asset consumed by Imposter data layer."
"assets\word_packs\jobs.json","27","Bundled offline word-pack JSON asset consumed by Imposter data layer."
"assets\word_packs\movies.json","27","Bundled offline word-pack JSON asset consumed by Imposter data layer."
"assets\word_packs\places.json","27","Bundled offline word-pack JSON asset consumed by Imposter data layer."
"assets\word_packs\sports.json","27","Bundled offline word-pack JSON asset consumed by Imposter data layer."
"flutter-plugins-dependencies","","Project/support file used by tooling, platform builds, or metadata."
"gitignore","39","Git ignore patterns controlling untracked/generated files."
"ios\.gitignore","33","iOS platform/build configuration, runner code, or asset resource."
"ios\Flutter\AppFrameworkInfo.plist","24","iOS platform/build configuration, runner code, or asset resource."
"ios\Flutter\Debug.xcconfig","1","iOS platform/build configuration, runner code, or asset resource."
"ios\Flutter\ephemeral\flutter_lldb_helper.py","","iOS platform/build configuration, runner code, or asset resource."
"ios\Flutter\ephemeral\flutter_lldbinit","","iOS platform/build configuration, runner code, or asset resource."
"ios\Flutter\ephemeral\flutter_native_integration.env","","iOS platform/build configuration, runner code, or asset resource."
"ios\Flutter\flutter_export_environment.sh","14","iOS platform/build configuration, runner code, or asset resource."
